latitude;longitude;elevation;time
-3.74104042;-38.57494687;10.861;2024-04-09 13:20:30
-3.74108246;-38.57496928;10.836;2024-04-09 13:20:31
-3.74113001;-38.57498921;10.538;2024-04-09 13:20:32
-3.74117237;-38.57501475;10.792;2024-04-09 13:20:33
-3.74120063;-38.57505080;10.901;2024-04-09 13:20:34
-3.74121725;-38.57508430;11.175;2024-04-09 13:20:35
-3.74122847;-38.57510697;11.235;2024-04-09 13:20:36
-3.74123801;-38.57513115;11.357;2024-04-09 13:20:37
-3.74124857;-38.57515792;11.511;2024-04-09 13:20:38
-3.74126164;-38.57518905;11.731;2024-04-09 13:20:39
-3.74127507;-38.57522981;11.655;2024-04-09 13:20:40
-3.74128385;-38.57527360;12.558;2024-04-09 13:20:41
-3.74129637;-38.57531558;12.568;2024-04-09 13:20:42
-3.74131144;-38.57536318;12.700;2024-04-09 13:20:43
-3.74132347;-38.57541975;13.271;2024-04-09 13:20:44
-3.74134329;-38.57547442;13.485;2024-04-09 13:20:45
-3.74136442;-38.57552941;13.599;2024-04-09 13:20:46
-3.74138277;-38.57558363;13.640;2024-04-09 13:20:47
-3.74140286;-38.57563438;13.973;2024-04-09 13:20:48
-3.74142099;-38.57568305;13.914;2024-04-09 13:20:49
-3.74143601;-38.57572967;14.009;2024-04-09 13:20:50
-3.74145168;-38.57577404;14.226;2024-04-09 13:20:51
-3.74146802;-38.57581797;14.625;2024-04-09 13:20:52
-3.74148011;-38.57584952;15.048;2024-04-09 13:20:53
-3.74148776;-38.57586852;15.303;2024-04-09 13:20:54
-3.74149455;-38.57588494;15.448;2024-04-09 13:20:55
-3.74150519;-38.57590990;15.697;2024-04-09 13:20:56
-3.74151462;-38.57593555;15.766;2024-04-09 13:20:57
-3.74152683;-38.57596537;15.909;2024-04-09 13:20:58
-3.74153789;-38.57599620;16.336;2024-04-09 13:20:59
-3.74154840;-38.57603050;16.656;2024-04-09 13:21:00
-3.74156001;-38.57606860;16.822;2024-04-09 13:21:01
-3.74157392;-38.57611470;16.561;2024-04-09 13:21:02
-3.74158693;-38.57616523;15.812;2024-04-09 13:21:03
-3.74160618;-38.57622304;15.842;2024-04-09 13:21:04
-3.74162508;-38.57628396;15.638;2024-04-09 13:21:05
-3.74164903;-38.57635016;15.473;2024-04-09 13:21:06
-3.74167410;-38.57641963;14.954;2024-04-09 13:21:07
-3.74169756;-38.57649148;14.811;2024-04-09 13:21:08
-3.74172541;-38.57656415;14.563;2024-04-09 13:21:09
-3.74175200;-38.57663804;14.199;2024-04-09 13:21:10
-3.74177813;-38.57670958;14.021;2024-04-09 13:21:11
-3.74180261;-38.57678035;13.806;2024-04-09 13:21:12
-3.74182591;-38.57685032;13.643;2024-04-09 13:21:13
-3.74184789;-38.57691391;13.535;2024-04-09 13:21:14
-3.74186772;-38.57697356;13.469;2024-04-09 13:21:15
